"Year","Opponent","Total_Passes_Attempted","Total_Passes_Completed","Total_Passing_Yards","Total_TD_Passes","Total_Ints","Total_Sacks"
2015,"BAL",535,343,3880,29,6,36
2015,"BUF",563,323,3841,29,16,20
2015,"CAR",576,350,3732,21,19,36
2015,"CHI",511,322,3830,31,8,35
2015,"CIN",608,390,4034,18,20,39
2015,"CLE",511,322,4169,34,11,29
2015,"DAL",433,282,3342,17,6,29
2015,"DEN",573,344,3544,19,14,51
2015,"DET",501,341,3866,25,9,36
2015,"GNB",550,320,3878,20,16,43
2015,"HOU",469,276,3259,23,12,36
2015,"IND",572,349,4327,29,16,34
2015,"JAX",593,388,4520,29,8,36
2015,"KAN",562,323,3707,23,20,45
2015,"MIA",444,285,3465,28,10,23
2015,"MIN",561,359,4042,24,13,43
2015,"NE",544,327,3847,20,10,45
2015,"NO",499,340,4422,43,7,31
2015,"NYG",517,333,3964,25,9,21
2015,"NYJ",570,327,3861,22,18,38
2015,"OAK",640,403,4348,25,14,38
2015,"PHI",605,375,4285,36,15,34
2015,"PIT",569,373,4373,29,15,38
2015,"SD",510,328,4008,22,11,32
2015,"SEA",490,301,3282,14,13,34
2015,"SFO",548,375,4375,21,9,28
2015,"STL",597,399,4301,21,13,41
2015,"TB",499,352,3811,29,8,35
2015,"TEN",470,302,3789,33,10,38
2015,"WAS",482,302,3742,26,11,28
2016,"ARI",517,323,3566,20,13,46
2016,"ATL",654,422,4495,31,12,34
2016,"BAL",578,369,3947,28,18,31
2016,"BUF",511,306,3835,19,12,39
2016,"CAR",584,391,4390,26,17,45
2016,"CHI",460,294,3350,18,7,32
2016,"CIN",569,362,3885,22,15,31
2016,"CLE",542,346,4165,36,10,26
2016,"DAL",586,393,4129,24,9,34
2016,"DEN",550,305,3198,12,14,42
2016,"DET",439,316,3417,30,9,23
2016,"GNB",431,277,3482,24,12,29
2016,"HOU",492,297,3153,18,11,29
2016,"IND",540,346,4120,27,7,28
2016,"JAX",516,321,3335,19,7,33
2016,"KAN",598,350,4120,23,18,28
2016,"LA",581,377,3878,31,10,31
2016,"MIA",586,365,4066,30,16,32
2016,"MIN",533,321,3510,21,12,40
2016,"NE",569,353,3846,20,12,32
2016,"NO",580,377,4550,27,9,30
2016,"NYG",591,342,3967,14,17,35
2016,"NYJ",542,345,4073,30,8,27
2016,"OAK",540,328,4267,27,16,25
2016,"PHI",489,296,3686,22,13,25
2016,"PIT",589,380,4106,20,13,38
2016,"SD",580,364,4217,21,18,35
2016,"SEA",534,331,3884,16,11,42
2016,"SFO",504,312,3821,30,10,32
2016,"TB",548,347,4246,24,17,38
2016,"TEN",578,357,4232,21,10,40
2016,"WAS",508,332,3753,18,7,34
