"Age","Yds_prev","TD_prev","Int_prev","Int._prev","QBR_prev","Cmp_prev","Att_prev","Cmp._prev","TD._prev","Y.A_prev","AY.A_prev","Y.C_prev","Y.G_prev","Rate_prev","Sk_prev","QBrec_prev","Home.or.Away","Passing.Yards","Temperature","WindSpeed","RoofType","Defense_Passes_Attempted_prev","Defense_Passes_Completed_prev","Defense_Passing_Yards_prev","Defense_TD_Passes_prev","Defense_Ints_prev","Defense_Sacks_prev","snow","rain","clear"
29,4770,29,15,2.6,73.8,396,583,67.9,5,8.2,8,12,298.1,98.6,25,0.5625,0,201,0,0,0,506,327,3221,19,13,28,0,0,1
32,3597,15,10,1.9,55.5,314,516,60.9,2.9,7,6.7,11.5,224.8,83.5,42,0.4375,0,294,1,0,0,506,327,3221,19,13,28,0,0,1
29,4254,28,9,1.9,76.9,317,486,65.2,5.8,8.8,9.1,13.4,265.9,104.4,25,0.8125,0,185,0,0,0,506,327,3221,19,13,28,0,0,1
28,2924,16,16,3.2,29.1,271,493,55,3.2,5.9,5.1,10.8,194.9,69.9,42,0.266666666666667,0,156,0,0,0,506,327,3221,19,13,28,0,0,1
28,1422,9,10,4.4,35.3,127,227,55.9,4,6.3,5.1,11.2,142.2,69.7,21,0.5,0,223,0,0,0,401,233,3363,19,13,37,0,0,1
33,4398,28,13,2.3,73.2,371,565,65.7,5,7.8,7.7,11.9,274.9,96.2,16,0.625,0,153,0,0,0,401,233,3363,19,13,37,0,0,1
35,2015,8,18,5.6,36.9,178,321,55.5,2.5,6.3,4.3,11.3,183.2,59.4,23,0.363636363636364,0,217,0,0,0,401,233,3363,19,13,37,0,0,1
27,3666,27,26,4.7,50.3,336,555,60.5,4.9,6.6,5.5,10.9,229.1,76.8,35,0.4375,0,156,0,0,0,401,233,3363,19,13,37,0,0,1
28,4328,26,12,2.4,69,337,506,66.6,5.1,8.6,8.5,12.8,288.5,100.5,50,0.6,0,302,0,1,0,401,233,3363,19,13,37,0,1,1
30,943,5,2,1.3,38.1,87,155,56.1,3.2,6.1,6.1,10.8,157.2,79.6,18,0.5,0,222,0,1,0,401,233,3363,19,13,37,0,0,1
28,1422,9,10,4.4,35.3,127,227,55.9,4,6.3,5.1,11.2,142.2,69.7,21,0.5,0,158,0,0,1,497,314,3515,25,10,46,0,0,1
25,2878,12,14,3.1,52.8,274,451,60.8,2.7,6.4,5.5,10.5,205.6,75.2,26,0.538461538461538,0,114,0,0,1,497,314,3515,25,10,46,0,0,1
27,888,3,10,5.5,23.1,81,182,44.5,1.6,4.9,2.7,11,111,42.1,11,0.428571428571429,0,179,0,0,1,497,314,3515,25,10,46,0,0,1
30,943,5,2,1.3,38.1,87,155,56.1,3.2,6.1,6.1,10.8,157.2,79.6,18,0.5,0,237,0,0,1,497,314,3515,25,10,46,0,0,1
27,3666,27,26,4.7,50.3,336,555,60.5,4.9,6.6,5.5,10.9,229.1,76.8,35,0.4375,0,194,1,0,0,497,314,3515,25,10,46,1,0,1
27,4434,30,7,1.3,70.7,350,541,64.7,5.5,8.2,8.7,12.7,277.1,103.2,50,0.6875,0,301,0,0,1,497,314,3515,25,10,46,0,0,1
28,1422,9,10,4.4,35.3,127,227,55.9,4,6.3,5.1,11.2,142.2,69.7,21,0.5,0,247,0,0,0,424,264,3119,21,10,24,0,0,1
