Week,HomeTeam,AwayTeam,Total,H-RushAtt,H-RushYards,H-PassYards,H-Turnover,H-Score,A-RushAtt,A-RushYards,A-PassYards,A-Turnover,A-Score,Result
8,MIN,NOR,53.5,22,85,359,2,20,29,106,164,1,30,-1
8,NYG,WAS,44.0,14,37,316,2,13,33,182,178,1,20,-1
8,PIT,CLE,47.5,31,168,257,2,33,21,74,180,1,18,1
8,OAK,IND,51.0,19,103,244,1,28,40,222,239,0,42,1
8,LAR,GNB,57.0,34,135,307,0,29,19,106,286,1,27,-1
8,BUF,NWE,44.5,19,46,313,2,6,25,76,324,0,25,-1
9,SFO,OAK,44.0,32,143,262,0,34,23,102,179,0,3,-1
9,BUF,CHI,38.0,28,98,188,4,9,25,64,135,1,41,1
9,CAR,TAM,55.5,32,179,247,0,42,21,82,243,2,28,1
9,CLE,KAN,51.5,25,102,308,1,21,24,139,375,1,37,1
9,DEN,HOU,46.5,20,75,290,1,17,33,98,213,0,19,-1
9,MIA,NYJ,43.0,27,64,139,0,13,21,80,229,4,6,-1
9,MIN,DET,47.5,23,128,164,2,24,24,66,199,1,9,-1
9,NOR,LAR,57.0,34,141,346,1,45,19,92,391,1,35,1
9,NWE,GNB,56.0,31,123,331,0,31,25,117,259,1,17,-1
9,BAL,PIT,46.5,16,61,218,0,16,27,113,292,0,23,-1
9,SEA,LAC,48.0,32,154,235,1,17,22,160,228,0,25,-1
9,WAS,ATL,46.5,15,79,306,1,14,24,154,350,1,38,1
9,DAL,TEN,40.5,19,72,243,2,14,36,125,240,2,28,1
